"FECHA..YYMMDD." "HORA..HHMM." "Registros.validados" "Registros.preliminares" "Registros.no.validados" "X" "identificador1" "identificador2"
"1" 160506 100 NA NA 3.48892 NA "Bocatoma" "so2"
"2" 160506 200 NA NA 3.18374 NA "Bocatoma" "so2"
"3" 160506 300 NA NA 3.00501 NA "Bocatoma" "so2"
"4" 160506 400 NA NA 3.07415 NA "Bocatoma" "so2"
"5" 160506 500 NA NA 3.1631 NA "Bocatoma" "so2"
"6" 160506 600 NA NA 3.01177 NA "Bocatoma" "so2"
"7" 160506 700 NA NA 2.92429 NA "Bocatoma" "so2"
"8" 160506 800 NA NA 2.80489 NA "Bocatoma" "so2"
"9" 160506 900 NA NA 2.89688 NA "Bocatoma" "so2"
"10" 160506 1000 NA NA 2.95479 NA "Bocatoma" "so2"
"11" 160506 1100 NA NA 2.93548 NA "Bocatoma" "so2"
"12" 160506 1200 NA NA 3.19093 NA "Bocatoma" "so2"
"13" 160506 1300 NA NA 3.16902 NA "Bocatoma" "so2"
"14" 160506 1400 NA NA 3.01557 NA "Bocatoma" "so2"
"15" 160506 1500 NA NA 3.1718 NA "Bocatoma" "so2"
"16" 160506 1600 NA NA 3.11366 NA "Bocatoma" "so2"
"17" 160506 1700 NA NA 2.85279 NA "Bocatoma" "so2"
"18" 160506 1800 NA NA 2.94391 NA "Bocatoma" "so2"
"19" 160506 1900 NA NA 2.92201 NA "Bocatoma" "so2"
"20" 160506 2000 NA NA 3.04997 NA "Bocatoma" "so2"
"21" 160506 2100 NA NA 2.89869 NA "Bocatoma" "so2"
"22" 160506 2200 NA NA 2.98764 NA "Bocatoma" "so2"
"23" 160506 2300 NA NA 2.81412 NA "Bocatoma" "so2"
"24" 160507 0 NA NA 2.86963 NA "Bocatoma" "so2"
"25" 160507 100 NA NA 2.83911 NA "Bocatoma" "so2"
"26" 160507 200 NA NA 2.93474 NA "Bocatoma" "so2"
"27" 160507 300 NA NA 3.41745 NA "Bocatoma" "so2"
"28" 160507 400 NA NA 3.76279 NA "Bocatoma" "so2"
"29" 160507 500 NA NA 4.49841 NA "Bocatoma" "so2"
"30" 160507 600 NA NA 3.6036 NA "Bocatoma" "so2"
"31" 160507 700 NA NA 3.6757 NA "Bocatoma" "so2"
"32" 160507 800 NA NA 5.35057 NA "Bocatoma" "so2"
"33" 160507 900 NA NA 6.90894 NA "Bocatoma" "so2"
"34" 160507 1000 NA NA 6.23927 NA "Bocatoma" "so2"
"35" 160507 1100 NA NA 3.90071 NA "Bocatoma" "so2"
"36" 160507 1200 NA NA 3.58062 NA "Bocatoma" "so2"
"37" 160507 1300 NA NA 3.51559 NA "Bocatoma" "so2"
"38" 160507 1400 NA NA 3.186 NA "Bocatoma" "so2"
"39" 160507 1500 NA NA 3.08497 NA "Bocatoma" "so2"
"40" 160507 1600 NA NA 3.04756 NA "Bocatoma" "so2"
"41" 160507 1700 NA NA 3.29022 NA "Bocatoma" "so2"
"42" 160507 1800 NA NA 3.8405 NA "Bocatoma" "so2"
"43" 160507 1900 NA NA 7.8556 NA "Bocatoma" "so2"
"44" 160507 2000 NA NA 3.98793 NA "Bocatoma" "so2"
"45" 160507 2100 NA NA 4.64835 NA "Bocatoma" "so2"
"46" 160507 2200 NA NA 4.63093 NA "Bocatoma" "so2"
"47" 160507 2300 NA NA 4.82785 NA "Bocatoma" "so2"
"48" 160508 0 NA NA 4.49723 NA "Bocatoma" "so2"
"49" 160508 100 NA NA 3.97797 NA "Bocatoma" "so2"
"50" 160508 200 NA NA 3.7155 NA "Bocatoma" "so2"
"51" 160508 300 NA NA 3.49914 NA "Bocatoma" "so2"
"52" 160508 400 NA NA 3.49946 NA "Bocatoma" "so2"
"53" 160508 500 NA NA 3.39413 NA "Bocatoma" "so2"
"54" 160508 600 NA NA 3.82038 NA "Bocatoma" "so2"
"55" 160508 700 NA NA 3.57172 NA "Bocatoma" "so2"
"56" 160508 800 NA NA 3.8628 NA "Bocatoma" "so2"
"57" 160508 900 NA NA 3.49233 NA "Bocatoma" "so2"
"58" 160508 1000 NA NA 4.14552 NA "Bocatoma" "so2"
"59" 160508 1100 NA NA 3.53412 NA "Bocatoma" "so2"
"60" 160508 1200 NA NA 3.96076 NA "Bocatoma" "so2"
"61" 160508 1300 NA NA 3.05062 NA "Bocatoma" "so2"
"62" 160508 1400 NA NA 3.04813 NA "Bocatoma" "so2"
"63" 160508 1500 NA NA 3.09327 NA "Bocatoma" "so2"
"64" 160508 1600 NA NA 2.96555 NA "Bocatoma" "so2"
"65" 160508 1700 NA NA 2.97881 NA "Bocatoma" "so2"
"66" 160508 1800 NA NA 3.28946 NA "Bocatoma" "so2"
"67" 160508 1900 NA NA 2.99387 NA "Bocatoma" "so2"
"68" 160508 2000 NA NA 2.92825 NA "Bocatoma" "so2"
"69" 160508 2100 NA NA 4.01625 NA "Bocatoma" "so2"
"70" 160508 2200 NA NA 3.95641 NA "Bocatoma" "so2"
"71" 160508 2300 NA NA 3.37008 NA "Bocatoma" "so2"
"72" 160509 0 NA NA 3.03506 NA "Bocatoma" "so2"
"73" 160509 100 NA NA 3.11793 NA "Bocatoma" "so2"
"74" 160509 200 NA NA 2.99238 NA "Bocatoma" "so2"
"75" 160509 300 NA NA 2.95153 NA "Bocatoma" "so2"
"76" 160509 400 NA NA 3.23478 NA "Bocatoma" "so2"
"77" 160509 500 NA NA 3.12325 NA "Bocatoma" "so2"
"78" 160509 600 NA NA 2.9016 NA "Bocatoma" "so2"
"79" 160509 700 NA NA 2.90859 NA "Bocatoma" "so2"
"80" 160509 800 NA NA 2.86882 NA "Bocatoma" "so2"
"81" 160509 900 NA NA 3.04541 NA "Bocatoma" "so2"
"82" 160509 1000 NA NA 3.71238 NA "Bocatoma" "so2"
"83" 160509 1100 NA NA NA NA "Bocatoma" "so2"
"84" 160509 1200 NA NA 4.50182 NA "Bocatoma" "so2"
"85" 160509 1300 NA NA 10.356 NA "Bocatoma" "so2"
"86" 160509 1400 NA NA 4.89044 NA "Bocatoma" "so2"
"87" 160509 1500 NA NA 3.58914 NA "Bocatoma" "so2"
"88" 160509 1600 NA NA 3.00103 NA "Bocatoma" "so2"
"89" 160509 1700 NA NA 3.09464 NA "Bocatoma" "so2"
"90" 160509 1800 NA NA 2.8252 NA "Bocatoma" "so2"
"91" 160509 1900 NA NA 3.07889 NA "Bocatoma" "so2"
"92" 160509 2000 NA NA 3.13907 NA "Bocatoma" "so2"
"93" 160509 2100 NA NA 4.27691 NA "Bocatoma" "so2"
"94" 160509 2200 NA NA 4.28776 NA "Bocatoma" "so2"
"95" 160509 2300 NA NA 3.41318 NA "Bocatoma" "so2"
"96" 160510 0 NA NA 3.40637 NA "Bocatoma" "so2"
"97" 160510 100 NA NA 3.08397 NA "Bocatoma" "so2"
"98" 160510 200 NA NA 2.98905 NA "Bocatoma" "so2"
"99" 160510 300 NA NA 2.9982 NA "Bocatoma" "so2"
"100" 160510 400 NA NA 2.99421 NA "Bocatoma" "so2"
"101" 160510 500 NA NA 2.9846 NA "Bocatoma" "so2"
"102" 160510 600 NA NA 3.06915 NA "Bocatoma" "so2"
"103" 160510 700 NA NA 3.87357 NA "Bocatoma" "so2"
"104" 160510 800 NA NA 3.25674 NA "Bocatoma" "so2"
"105" 160510 900 NA NA 3.18487 NA "Bocatoma" "so2"
"106" 160510 1000 NA NA 3.41934 NA "Bocatoma" "so2"
"107" 160510 1100 NA NA 3.43126 NA "Bocatoma" "so2"
"108" 160510 1200 NA NA 3.23363 NA "Bocatoma" "so2"
"109" 160510 1300 NA NA 3.22186 NA "Bocatoma" "so2"
"110" 160510 1400 NA NA 3.30618 NA "Bocatoma" "so2"
"111" 160510 1500 NA NA 3.21534 NA "Bocatoma" "so2"
"112" 160510 1600 NA NA 3.55345 NA "Bocatoma" "so2"
"113" 160510 1700 NA NA 3.82918 NA "Bocatoma" "so2"
"114" 160510 1800 NA NA 3.88009 NA "Bocatoma" "so2"
"115" 160510 1900 NA NA 4.6206 NA "Bocatoma" "so2"
"116" 160510 2000 NA NA 4.12016 NA "Bocatoma" "so2"
"117" 160510 2100 NA NA 3.13452 NA "Bocatoma" "so2"
"118" 160510 2200 NA NA 3.37624 NA "Bocatoma" "so2"
"119" 160510 2300 NA NA 3.54237 NA "Bocatoma" "so2"
"120" 160511 0 NA NA 3.54764 NA "Bocatoma" "so2"
"121" 160511 100 NA NA 3.574 NA "Bocatoma" "so2"
"122" 160511 200 NA NA 3.06414 NA "Bocatoma" "so2"
"123" 160511 300 NA NA 2.94493 NA "Bocatoma" "so2"
"124" 160511 400 NA NA 3.59278 NA "Bocatoma" "so2"
"125" 160511 500 NA NA 3.2563 NA "Bocatoma" "so2"
"126" 160511 600 NA NA 2.9267 NA "Bocatoma" "so2"
"127" 160511 700 NA NA 3.69619 NA "Bocatoma" "so2"
"128" 160511 800 NA NA 4.40988 NA "Bocatoma" "so2"
"129" 160511 900 NA NA 3.98188 NA "Bocatoma" "so2"
"130" 160511 1000 NA NA 3.72315 NA "Bocatoma" "so2"
"131" 160511 1100 NA NA 3.92736 NA "Bocatoma" "so2"
"132" 160511 1200 NA NA 3.14777 NA "Bocatoma" "so2"
"133" 160511 1300 NA NA 3.03136 NA "Bocatoma" "so2"
"134" 160511 1400 NA NA 3.07774 NA "Bocatoma" "so2"
"135" 160511 1500 NA NA 2.99194 NA "Bocatoma" "so2"
"136" 160511 1600 NA NA 2.95264 NA "Bocatoma" "so2"
"137" 160511 1700 NA NA 2.7891 NA "Bocatoma" "so2"
"138" 160511 1800 NA NA 3.07965 NA "Bocatoma" "so2"
"139" 160511 1900 NA NA 3.25564 NA "Bocatoma" "so2"
"140" 160511 2000 NA NA 3.25378 NA "Bocatoma" "so2"
"141" 160511 2100 NA NA 3.45625 NA "Bocatoma" "so2"
"142" 160511 2200 NA NA 2.9616 NA "Bocatoma" "so2"
"143" 160511 2300 NA NA 3.00024 NA "Bocatoma" "so2"
"144" 160512 0 NA NA 3.17449 NA "Bocatoma" "so2"
"145" 160512 100 NA NA 2.9944 NA "Bocatoma" "so2"
"146" 160512 200 NA NA 2.96264 NA "Bocatoma" "so2"
"147" 160512 300 NA NA 3.44344 NA "Bocatoma" "so2"
"148" 160512 400 NA NA 3.31241 NA "Bocatoma" "so2"
"149" 160512 500 NA NA 2.9879 NA "Bocatoma" "so2"
"150" 160512 600 NA NA 2.85237 NA "Bocatoma" "so2"
"151" 160512 700 NA NA 2.95256 NA "Bocatoma" "so2"
"152" 160512 800 NA NA 3.09194 NA "Bocatoma" "so2"
"153" 160512 900 NA NA 3.34752 NA "Bocatoma" "so2"
"154" 160512 1000 NA NA 2.92271 NA "Bocatoma" "so2"
"155" 160512 1100 NA NA 3.34745 NA "Bocatoma" "so2"
"156" 160512 1200 NA NA 3.16957 NA "Bocatoma" "so2"
"157" 160512 1300 NA NA 2.98046 NA "Bocatoma" "so2"
"158" 160512 1400 NA NA 5.20657 NA "Bocatoma" "so2"
"159" 160512 1500 NA NA 3.21678 NA "Bocatoma" "so2"
"160" 160512 1600 NA NA 3.05908 NA "Bocatoma" "so2"
"161" 160512 1700 NA NA 2.935 NA "Bocatoma" "so2"
"162" 160512 1800 NA NA 2.82038 NA "Bocatoma" "so2"
"163" 160512 1900 NA NA 2.81553 NA "Bocatoma" "so2"
"164" 160512 2000 NA NA 2.89872 NA "Bocatoma" "so2"
"165" 160512 2100 NA NA 3.01696 NA "Bocatoma" "so2"
"166" 160512 2200 NA NA 3.0573 NA "Bocatoma" "so2"
"167" 160512 2300 NA NA 3.50697 NA "Bocatoma" "so2"
"168" 160513 0 NA NA 4.50325 NA "Bocatoma" "so2"
"169" 160513 100 NA NA 6.93732 NA "Bocatoma" "so2"
"170" 160513 200 NA NA 4.5331 NA "Bocatoma" "so2"
"171" 160513 300 NA NA 3.20261 NA "Bocatoma" "so2"
"172" 160513 400 NA NA 3.4196 NA "Bocatoma" "so2"
"173" 160513 500 NA NA 3.30521 NA "Bocatoma" "so2"
"174" 160513 600 NA NA 2.93044 NA "Bocatoma" "so2"
"175" 160513 700 NA NA 2.88923 NA "Bocatoma" "so2"
"176" 160513 800 NA NA 4.68503 NA "Bocatoma" "so2"
"177" 160513 900 NA NA 4.09917 NA "Bocatoma" "so2"
"178" 160513 1000 NA NA 4.01125 NA "Bocatoma" "so2"
"179" 160513 1100 NA NA 6.77611 NA "Bocatoma" "so2"
"180" 160513 1200 NA NA 7.63685 NA "Bocatoma" "so2"
"181" 160513 1300 NA NA 15.1801 NA "Bocatoma" "so2"
"182" 160513 1400 NA NA 7.37483 NA "Bocatoma" "so2"
"183" 160513 1500 NA NA 6.47119 NA "Bocatoma" "so2"
"184" 160513 1600 NA NA 6.03422 NA "Bocatoma" "so2"
"185" 160513 1700 NA NA 9.8518 NA "Bocatoma" "so2"
"186" 160513 1800 NA NA 9.04563 NA "Bocatoma" "so2"
"187" 160513 1900 NA NA 9.85612 NA "Bocatoma" "so2"
"188" 160513 2000 NA NA 7.17063 NA "Bocatoma" "so2"
"189" 160513 2100 NA NA 5.97447 NA "Bocatoma" "so2"
"190" 160513 2200 NA NA 9.84984 NA "Bocatoma" "so2"
"191" 160513 2300 NA NA 9.69282 NA "Bocatoma" "so2"
"192" 160514 0 NA NA 8.13413 NA "Bocatoma" "so2"
"193" 160514 100 NA NA 6.93632 NA "Bocatoma" "so2"
"194" 160514 200 NA NA 4.65275 NA "Bocatoma" "so2"
"195" 160514 300 NA NA 3.63572 NA "Bocatoma" "so2"
"196" 160514 400 NA NA 3.32043 NA "Bocatoma" "so2"
"197" 160514 500 NA NA 5.01997 NA "Bocatoma" "so2"
"198" 160514 600 NA NA 4.91203 NA "Bocatoma" "so2"
"199" 160514 700 NA NA 4.41046 NA "Bocatoma" "so2"
"200" 160514 800 NA NA 3.26808 NA "Bocatoma" "so2"
"201" 160514 900 NA NA 5.06087 NA "Bocatoma" "so2"
"202" 160514 1000 NA NA 4.66795 NA "Bocatoma" "so2"
"203" 160514 1100 NA NA 3.94486 NA "Bocatoma" "so2"
"204" 160514 1200 NA NA 3.89222 NA "Bocatoma" "so2"
"205" 160514 1300 NA NA 3.65592 NA "Bocatoma" "so2"
"206" 160514 1400 NA NA 3.51255 NA "Bocatoma" "so2"
"207" 160514 1500 NA NA 3.34938 NA "Bocatoma" "so2"
"208" 160514 1600 NA NA 3.09611 NA "Bocatoma" "so2"
"209" 160514 1700 NA NA 3.10352 NA "Bocatoma" "so2"
"210" 160514 1800 NA NA 3.02854 NA "Bocatoma" "so2"
"211" 160514 1900 NA NA 3.3289 NA "Bocatoma" "so2"
"212" 160514 2000 NA NA 3.30102 NA "Bocatoma" "so2"
"213" 160514 2100 NA NA 3.42413 NA "Bocatoma" "so2"
"214" 160514 2200 NA NA 3.9234 NA "Bocatoma" "so2"
"215" 160514 2300 NA NA 3.30256 NA "Bocatoma" "so2"
"216" 160515 0 NA NA 3.68783 NA "Bocatoma" "so2"
"217" 160515 100 NA NA 3.64599 NA "Bocatoma" "so2"
"218" 160515 200 NA NA 2.99961 NA "Bocatoma" "so2"
"219" 160515 300 NA NA 2.8483 NA "Bocatoma" "so2"
"220" 160515 400 NA NA 2.94087 NA "Bocatoma" "so2"
"221" 160515 500 NA NA 2.65883 NA "Bocatoma" "so2"
"222" 160515 600 NA NA 3.01785 NA "Bocatoma" "so2"
"223" 160515 700 NA NA 3.89015 NA "Bocatoma" "so2"
"224" 160515 800 NA NA 3.9627 NA "Bocatoma" "so2"
"225" 160515 900 NA NA 3.13682 NA "Bocatoma" "so2"
"226" 160515 1000 NA NA 3.14078 NA "Bocatoma" "so2"
"227" 160515 1100 NA NA 3.14971 NA "Bocatoma" "so2"
"228" 160515 1200 NA NA 3.12333 NA "Bocatoma" "so2"
"229" 160515 1300 NA NA 3.22234 NA "Bocatoma" "so2"
"230" 160515 1400 NA NA 3.07514 NA "Bocatoma" "so2"
"231" 160515 1500 NA NA 3.34852 NA "Bocatoma" "so2"
"232" 160515 1600 NA NA 2.91365 NA "Bocatoma" "so2"
"233" 160515 1700 NA NA 2.95848 NA "Bocatoma" "so2"
"234" 160515 1800 NA NA 3.03081 NA "Bocatoma" "so2"
"235" 160515 1900 NA NA 3.35213 NA "Bocatoma" "so2"
"236" 160515 2000 NA NA 6.2803 NA "Bocatoma" "so2"
"237" 160515 2100 NA NA 9.6055 NA "Bocatoma" "so2"
"238" 160515 2200 NA NA 6.64202 NA "Bocatoma" "so2"
"239" 160515 2300 NA NA 3.4131 NA "Bocatoma" "so2"
"240" 160516 0 NA NA 2.98237 NA "Bocatoma" "so2"
"241" 160516 100 NA NA 2.80358 NA "Bocatoma" "so2"
"242" 160516 200 NA NA 3.07242 NA "Bocatoma" "so2"
"243" 160516 300 NA NA 3.02607 NA "Bocatoma" "so2"
"244" 160516 400 NA NA 2.79462 NA "Bocatoma" "so2"
"245" 160516 500 NA NA 3.00734 NA "Bocatoma" "so2"
"246" 160516 600 NA NA 2.94402 NA "Bocatoma" "so2"
"247" 160516 700 NA NA 3.01355 NA "Bocatoma" "so2"
"248" 160516 800 NA NA 3.10391 NA "Bocatoma" "so2"
"249" 160516 900 NA NA 3.36198 NA "Bocatoma" "so2"
"250" 160516 1000 NA NA 3.02306 NA "Bocatoma" "so2"
"251" 160516 1100 NA NA 3.49097 NA "Bocatoma" "so2"
"252" 160516 1200 NA NA NA NA "Bocatoma" "so2"
"253" 160516 1300 NA NA 2.98373 NA "Bocatoma" "so2"
"254" 160516 1400 NA NA 2.87121 NA "Bocatoma" "so2"
"255" 160516 1500 NA NA 2.91779 NA "Bocatoma" "so2"
"256" 160516 1600 NA NA 2.87749 NA "Bocatoma" "so2"
"257" 160516 1700 NA NA 2.9426 NA "Bocatoma" "so2"
"258" 160516 1800 NA NA 2.84443 NA "Bocatoma" "so2"
"259" 160516 1900 NA NA 2.68663 NA "Bocatoma" "so2"
"260" 160516 2000 NA NA 3.26395 NA "Bocatoma" "so2"
"261" 160516 2100 NA NA 3.43673 NA "Bocatoma" "so2"
"262" 160516 2200 NA NA 4.08424 NA "Bocatoma" "so2"
"263" 160516 2300 NA NA 6.00934 NA "Bocatoma" "so2"
"264" 160517 0 NA NA 5.1609 NA "Bocatoma" "so2"
"265" 160517 100 NA NA 9.14377 NA "Bocatoma" "so2"
"266" 160517 200 NA NA 7.6373 NA "Bocatoma" "so2"
"267" 160517 300 NA NA 4.93773 NA "Bocatoma" "so2"
"268" 160517 400 NA NA 4.34079 NA "Bocatoma" "so2"
"269" 160517 500 NA NA 4.35423 NA "Bocatoma" "so2"
"270" 160517 600 NA NA 4.50713 NA "Bocatoma" "so2"
"271" 160517 700 NA NA 4.7389 NA "Bocatoma" "so2"
"272" 160517 800 NA NA 5.24875 NA "Bocatoma" "so2"
"273" 160517 900 NA NA 4.82392 NA "Bocatoma" "so2"
"274" 160517 1000 NA NA 4.93016 NA "Bocatoma" "so2"
"275" 160517 1100 NA NA 4.5015 NA "Bocatoma" "so2"
"276" 160517 1200 NA NA 4.03047 NA "Bocatoma" "so2"
"277" 160517 1300 NA NA 3.70295 NA "Bocatoma" "so2"
"278" 160517 1400 NA NA 3.48578 NA "Bocatoma" "so2"
"279" 160517 1500 NA NA 3.54771 NA "Bocatoma" "so2"
"280" 160517 1600 NA NA 3.33652 NA "Bocatoma" "so2"
"281" 160517 1700 NA NA 3.7499 NA "Bocatoma" "so2"
"282" 160517 1800 NA NA 2.92712 NA "Bocatoma" "so2"
"283" 160517 1900 NA NA 2.93869 NA "Bocatoma" "so2"
"284" 160517 2000 NA NA 4.32614 NA "Bocatoma" "so2"
"285" 160517 2100 NA NA 4.75661 NA "Bocatoma" "so2"
"286" 160517 2200 NA NA 4.22158 NA "Bocatoma" "so2"
"287" 160517 2300 NA NA 4.45874 NA "Bocatoma" "so2"
"288" 160518 0 NA NA 4.32866 NA "Bocatoma" "so2"
"289" 160518 100 NA NA 3.82423 NA "Bocatoma" "so2"
"290" 160518 200 NA NA 3.63441 NA "Bocatoma" "so2"
"291" 160518 300 NA NA 3.87333 NA "Bocatoma" "so2"
"292" 160518 400 NA NA 3.67162 NA "Bocatoma" "so2"
"293" 160518 500 NA NA 3.54004 NA "Bocatoma" "so2"
"294" 160518 600 NA NA 4.19396 NA "Bocatoma" "so2"
"295" 160518 700 NA NA 4.94499 NA "Bocatoma" "so2"
"296" 160518 800 NA NA 6.77312 NA "Bocatoma" "so2"
"297" 160518 900 NA NA 4.28545 NA "Bocatoma" "so2"
"298" 160518 1000 NA NA 3.33984 NA "Bocatoma" "so2"
"299" 160518 1100 NA NA 3.4873 NA "Bocatoma" "so2"
"300" 160518 1200 NA NA 3.67869 NA "Bocatoma" "so2"
"301" 160518 1300 NA NA 4.53446 NA "Bocatoma" "so2"
"302" 160518 1400 NA NA 3.75336 NA "Bocatoma" "so2"
"303" 160518 1500 NA NA 2.7052 NA "Bocatoma" "so2"
"304" 160518 1600 NA NA 2.99613 NA "Bocatoma" "so2"
"305" 160518 1700 NA NA 3.02463 NA "Bocatoma" "so2"
"306" 160518 1800 NA NA 2.73889 NA "Bocatoma" "so2"
"307" 160518 1900 NA NA 2.79376 NA "Bocatoma" "so2"
"308" 160518 2000 NA NA 2.63632 NA "Bocatoma" "so2"
"309" 160518 2100 NA NA 2.77154 NA "Bocatoma" "so2"
"310" 160518 2200 NA NA 2.96243 NA "Bocatoma" "so2"
"311" 160518 2300 NA NA 2.88331 NA "Bocatoma" "so2"
"312" 160519 0 NA NA 2.58347 NA "Bocatoma" "so2"
"313" 160519 100 NA NA 2.85999 NA "Bocatoma" "so2"
"314" 160519 200 NA NA 2.75137 NA "Bocatoma" "so2"
"315" 160519 300 NA NA 2.63643 NA "Bocatoma" "so2"
"316" 160519 400 NA NA 2.77285 NA "Bocatoma" "so2"
"317" 160519 500 NA NA 2.62388 NA "Bocatoma" "so2"
"318" 160519 600 NA NA 2.89253 NA "Bocatoma" "so2"
"319" 160519 700 NA NA 2.93668 NA "Bocatoma" "so2"
"320" 160519 800 NA NA 2.90236 NA "Bocatoma" "so2"
"321" 160519 900 NA NA 3.65796 NA "Bocatoma" "so2"
"322" 160519 1000 NA NA 3.13947 NA "Bocatoma" "so2"
"323" 160519 1100 NA NA 3.4344 NA "Bocatoma" "so2"
"324" 160519 1200 NA NA 2.8858 NA "Bocatoma" "so2"
"325" 160519 1300 NA NA 2.93194 NA "Bocatoma" "so2"
"326" 160519 1400 NA NA 3.40988 NA "Bocatoma" "so2"
"327" 160519 1500 NA NA 2.94179 NA "Bocatoma" "so2"
"328" 160519 1600 NA NA 2.81453 NA "Bocatoma" "so2"
"329" 160519 1700 NA NA 2.99288 NA "Bocatoma" "so2"
"330" 160519 1800 NA NA 2.91357 NA "Bocatoma" "so2"
"331" 160519 1900 NA NA 2.58633 NA "Bocatoma" "so2"
"332" 160519 2000 NA NA 2.73539 NA "Bocatoma" "so2"
"333" 160519 2100 NA NA 2.86256 NA "Bocatoma" "so2"
"334" 160519 2200 NA NA 2.76777 NA "Bocatoma" "so2"
"335" 160519 2300 NA NA 2.73402 NA "Bocatoma" "so2"
"336" 160520 0 NA NA 2.59599 NA "Bocatoma" "so2"
"337" 160520 100 NA NA 2.71623 NA "Bocatoma" "so2"
"338" 160520 200 NA NA 3.00166 NA "Bocatoma" "so2"
"339" 160520 300 NA NA 3.63986 NA "Bocatoma" "so2"
"340" 160520 400 NA NA 3.76316 NA "Bocatoma" "so2"
"341" 160520 500 NA NA 3.18081 NA "Bocatoma" "so2"
"342" 160520 600 NA NA 2.85426 NA "Bocatoma" "so2"
"343" 160520 700 NA NA 2.72501 NA "Bocatoma" "so2"
"344" 160520 800 NA NA 2.65752 NA "Bocatoma" "so2"
"345" 160520 900 NA NA 2.56888 NA "Bocatoma" "so2"
"346" 160520 1000 NA NA 2.89374 NA "Bocatoma" "so2"
"347" 160520 1100 NA NA 3.11361 NA "Bocatoma" "so2"
"348" 160520 1200 NA NA 3.41554 NA "Bocatoma" "so2"
"349" 160520 1300 NA NA 3.6096 NA "Bocatoma" "so2"
"350" 160520 1400 NA NA 3.49299 NA "Bocatoma" "so2"
"351" 160520 1500 NA NA 3.39743 NA "Bocatoma" "so2"
"352" 160520 1600 NA NA 3.25855 NA "Bocatoma" "so2"
"353" 160520 1700 NA NA 3.60709 NA "Bocatoma" "so2"
"354" 160520 1800 NA NA 3.78868 NA "Bocatoma" "so2"
"355" 160520 1900 NA NA 3.07971 NA "Bocatoma" "so2"
"356" 160520 2000 NA NA 3.26041 NA "Bocatoma" "so2"
"357" 160520 2100 NA NA 2.8988 NA "Bocatoma" "so2"
"358" 160520 2200 NA NA 3.07562 NA "Bocatoma" "so2"
"359" 160520 2300 NA NA 3.53789 NA "Bocatoma" "so2"
"360" 160521 0 NA NA 3.02953 NA "Bocatoma" "so2"
"361" 160521 100 NA NA 2.7538 NA "Bocatoma" "so2"
"362" 160521 200 NA NA 2.72648 NA "Bocatoma" "so2"
"363" 160521 300 NA NA 2.61435 NA "Bocatoma" "so2"
"364" 160521 400 NA NA 2.83353 NA "Bocatoma" "so2"
"365" 160521 500 NA NA 3.18951 NA "Bocatoma" "so2"
"366" 160521 600 NA NA 2.78519 NA "Bocatoma" "so2"
"367" 160521 700 NA NA 2.77812 NA "Bocatoma" "so2"
"368" 160521 800 NA NA 3.08099 NA "Bocatoma" "so2"
"369" 160521 900 NA NA 3.59335 NA "Bocatoma" "so2"
"370" 160521 1000 NA NA 3.56653 NA "Bocatoma" "so2"
"371" 160521 1100 NA NA 4.82968 NA "Bocatoma" "so2"
"372" 160521 1200 NA NA 5.47294 NA "Bocatoma" "so2"
"373" 160521 1300 NA NA 4.22501 NA "Bocatoma" "so2"
"374" 160521 1400 NA NA 5.32002 NA "Bocatoma" "so2"
"375" 160521 1500 NA NA 3.57748 NA "Bocatoma" "so2"
"376" 160521 1600 NA NA 2.87907 NA "Bocatoma" "so2"
"377" 160521 1700 NA NA 2.68445 NA "Bocatoma" "so2"
"378" 160521 1800 NA NA 3.05864 NA "Bocatoma" "so2"
"379" 160521 1900 NA NA 3.94884 NA "Bocatoma" "so2"
"380" 160521 2000 NA NA 4.15142 NA "Bocatoma" "so2"
"381" 160521 2100 NA NA 4.7787 NA "Bocatoma" "so2"
"382" 160521 2200 NA NA 3.28194 NA "Bocatoma" "so2"
"383" 160521 2300 NA NA 2.94451 NA "Bocatoma" "so2"
"384" 160522 0 NA NA 2.81682 NA "Bocatoma" "so2"
"385" 160522 100 NA NA 2.88779 NA "Bocatoma" "so2"
"386" 160522 200 NA NA 2.72964 NA "Bocatoma" "so2"
"387" 160522 300 NA NA 2.84173 NA "Bocatoma" "so2"
"388" 160522 400 NA NA 2.73625 NA "Bocatoma" "so2"
"389" 160522 500 NA NA 2.917 NA "Bocatoma" "so2"
"390" 160522 600 NA NA 2.90686 NA "Bocatoma" "so2"
"391" 160522 700 NA NA 2.78716 NA "Bocatoma" "so2"
"392" 160522 800 NA NA 2.73324 NA "Bocatoma" "so2"
"393" 160522 900 NA NA 3.26025 NA "Bocatoma" "so2"
"394" 160522 1000 NA NA 3.96613 NA "Bocatoma" "so2"
"395" 160522 1100 NA NA 4.14786 NA "Bocatoma" "so2"
"396" 160522 1200 NA NA 5.63525 NA "Bocatoma" "so2"
"397" 160522 1300 NA NA 7.28408 NA "Bocatoma" "so2"
"398" 160522 1400 NA NA 5.16921 NA "Bocatoma" "so2"
"399" 160522 1500 NA NA 3.89966 NA "Bocatoma" "so2"
"400" 160522 1600 NA NA 3.50595 NA "Bocatoma" "so2"
"401" 160522 1700 NA NA 3.25058 NA "Bocatoma" "so2"
"402" 160522 1800 NA NA 3.10381 NA "Bocatoma" "so2"
"403" 160522 1900 NA NA 3.37475 NA "Bocatoma" "so2"
