FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
100101;0100;;0;;
100101;0200;;0;;
100101;0300;;0;;
100101;0400;;0;;
100101;0500;;0;;
100101;0600;;0;;
100101;0700;;0;;
100101;0800;;0;;
100101;0900;;0;;
100101;1000;;0;;
100101;1100;;0;;
100101;1200;;0;;
100101;1300;;0;;
100101;1400;;0;;
100101;1500;;0;;
100101;1600;;0;;
100101;1700;;0;;
100101;1800;;0;;
100101;1900;;0;;
100101;2000;;0;;
100101;2100;;0;;
100101;2200;;0;;
100101;2300;;0;;
100102;0000;;0;;
100102;0100;;0;;
100102;0200;;0;;
100102;0300;;0;;
100102;0400;;0;;
100102;0500;;0;;
100102;0600;;0;;
100102;0700;;0;;
100102;0800;;0;;
100102;0900;;0;;
100102;1000;;0;;
100102;1100;;0;;
100102;1200;;0;;
100102;1300;;0;;
100102;1400;;0;;
100102;1500;;0;;
100102;1600;;0;;
100102;1700;;0;;
100102;1800;;0;;
100102;1900;;0;;
100102;2000;;0;;
100102;2100;;0;;
100102;2200;;0;;
100102;2300;;0;;
100103;0000;;0;;
100103;0100;;0;;
100103;0200;;0;;
100103;0300;;0;;
100103;0400;;0;;
100103;0500;;0;;
100103;0600;;0;;
100103;0700;;0;;
100103;0800;;0;;
100103;0900;;0;;
100103;1000;;0;;
100103;1100;;0;;
100103;1200;;0;;
100103;1300;;0;;
100103;1400;;0;;
100103;1500;;0;;
100103;1600;;0;;
100103;1700;;0;;
100103;1800;;0;;
100103;1900;;0;;
100103;2000;;0;;
100103;2100;;0;;
100103;2200;;0;;
100103;2300;;0;;
100104;0000;;0;;
100104;0100;;0;;
100104;0200;;0;;
100104;0300;;0;;
100104;0400;;0;;
100104;0500;;0;;
100104;0600;;0;;
100104;0700;;0;;
100104;0800;;0;;
100104;0900;;0;;
100104;1000;;0;;
100104;1100;;0;;
100104;1200;;0;;
100104;1300;;0;;
100104;1400;;0;;
100104;1500;;0;;
100104;1600;;0;;
100104;1700;;0;;
100104;1800;;0;;
100104;1900;;0;;
100104;2000;;0;;
100104;2100;;0;;
100104;2200;;0;;
100104;2300;;0;;
100105;0000;;0;;
100105;0100;;0;;
100105;0200;;0;;
100105;0300;;0;;
100105;0400;;0;;
100105;0500;;0;;
100105;0600;;0;;
100105;0700;;0;;
100105;0800;;0;;
100105;0900;;0;;
100105;1000;;0;;
100105;1100;;0;;
100105;1200;;0;;
100105;1300;;0;;
100105;1400;;0;;
100105;1500;;0;;
100105;1600;;0;;
100105;1700;;0;;
100105;1800;;0;;
100105;1900;;0;;
100105;2000;;0;;
100105;2100;;0;;
100105;2200;;0;;
100105;2300;;0;;
100106;0000;;0;;
100106;0100;;0;;
100106;0200;;0;;
100106;0300;;0;;
100106;0400;;0;;
100106;0500;;0;;
100106;0600;;0;;
100106;0700;;0;;
100106;0800;;0;;
100106;0900;;0;;
100106;1000;;0;;
100106;1100;;0;;
100106;1200;;0;;
100106;1300;;0;;
100106;1400;;0;;
100106;1500;;0;;
100106;1600;;0;;
100106;1700;;0;;
100106;1800;;0;;
100106;1900;;0;;
100106;2000;;0;;
100106;2100;;0;;
100106;2200;;0;;
100106;2300;;0;;
100107;0000;;0;;
100107;0100;;0;;
100107;0200;;0;;
100107;0300;;0;;
100107;0400;;0;;
100107;0500;;0;;
100107;0600;;0;;
100107;0700;;0;;
100107;0800;;0;;
100107;0900;;0;;
100107;1000;;0;;
100107;1100;;0;;
100107;1200;;0;;
100107;1300;;0;;
100107;1400;;0;;
100107;1500;;0;;
100107;1600;;0;;
100107;1700;;0;;
100107;1800;;0;;
100107;1900;;0;;
100107;2000;;0;;
100107;2100;;0;;
100107;2200;;0;;
100107;2300;;0;;
100108;0000;;0;;
100108;0100;;0;;
100108;0200;;0;;
100108;0300;;0;;
100108;0400;;0;;
100108;0500;;0;;
100108;0600;;0;;
100108;0700;;0;;
100108;0800;;0;;
100108;0900;;0;;
100108;1000;;0;;
100108;1100;;0;;
100108;1200;;0;;
100108;1300;;0;;
100108;1400;;0;;
100108;1500;;0;;
100108;1600;;0;;
100108;1700;;0;;
100108;1800;;0;;
100108;1900;;0;;
100108;2000;;0;;
100108;2100;;0;;
100108;2200;;0;;
100108;2300;;0;;
100109;0000;;0;;
100109;0100;;0;;
100109;0200;;0;;
100109;0300;;0;;
100109;0400;;0;;
100109;0500;;0;;
100109;0600;;0;;
100109;0700;;0;;
100109;0800;;0;;
100109;0900;;0;;
100109;1000;;0;;
100109;1100;;0;;
100109;1200;;0;;
100109;1300;;0;;
100109;1400;;0;;
100109;1500;;0;;
100109;1600;;0;;
100109;1700;;0;;
100109;1800;;0;;
100109;1900;;0;;
100109;2000;;0;;
100109;2100;;0;;
100109;2200;;0;;
100109;2300;;0;;
100110;0000;;0;;
100110;0100;;0;;
100110;0200;;0;;
100110;0300;;0;;
100110;0400;;0;;
100110;0500;;0;;
100110;0600;;0;;
100110;0700;;0;;
100110;0800;;0;;
100110;0900;;0;;
100110;1000;;0;;
100110;1100;;0;;
100110;1200;;0;;
100110;1300;;0;;
100110;1400;;0;;
100110;1500;;0;;
100110;1600;;0;;
100110;1700;;0;;
100110;1800;;0;;
100110;1900;;0;;
100110;2000;;0;;
100110;2100;;0;;
100110;2200;;0;;
100110;2300;;0;;
100111;0000;;0;;
100111;0100;;0;;
100111;0200;;0;;
100111;0300;;0;;
100111;0400;;0;;
100111;0500;;0;;
100111;0600;;0;;
100111;0700;;0;;
100111;0800;;0;;
100111;0900;;0;;
100111;1000;;0;;
100111;1100;;0;;
100111;1200;;0;;
100111;1300;;0;;
100111;1400;;0;;
100111;1500;;0;;
100111;1600;;0;;
100111;1700;;0;;
100111;1800;;0;;
100111;1900;;0;;
100111;2000;;0;;
100111;2100;;0;;
100111;2200;;0;;
100111;2300;;0;;
100112;0000;;0;;
100112;0100;;0;;
100112;0200;;0;;
100112;0300;;0;;
100112;0400;;0;;
100112;0500;;0;;
100112;0600;;0;;
100112;0700;;0;;
100112;0800;;0;;
100112;0900;;0;;
100112;1000;;0;;
100112;1100;;0;;
100112;1200;;0;;
100112;1300;;0;;
100112;1400;;0;;
100112;1500;;0;;
100112;1600;;0;;
100112;1700;;0;;
100112;1800;;0;;
100112;1900;;0;;
100112;2000;;0;;
100112;2100;;0;;
100112;2200;;0;;
100112;2300;;0;;
100113;0000;;0;;
100113;0100;;0;;
100113;0200;;0;;
100113;0300;;0;;
100113;0400;;0;;
100113;0500;;0;;
100113;0600;;0;;
100113;0700;;0;;
100113;0800;;0;;
100113;0900;;0;;
100113;1000;;0;;
100113;1100;;0;;
100113;1200;;0;;
100113;1300;;0;;
100113;1400;;0;;
100113;1500;;0;;
100113;1600;;0;;
100113;1700;;0;;
100113;1800;;0;;
100113;1900;;0;;
100113;2000;;0;;
100113;2100;;0;;
100113;2200;;0;;
100113;2300;;0;;
100114;0000;;0;;
100114;0100;;0;;
100114;0200;;0;;
100114;0300;;0;;
100114;0400;;0;;
100114;0500;;0;;
100114;0600;;0;;
100114;0700;;0;;
100114;0800;;0;;
100114;0900;;0;;
100114;1000;;0;;
100114;1100;;0;;
100114;1200;;0;;
100114;1300;;0;;
100114;1400;;0;;
100114;1500;;0;;
100114;1600;;0;;
100114;1700;;0;;
100114;1800;;0;;
100114;1900;;0;;
100114;2000;;0;;
100114;2100;;0;;
100114;2200;;0;;
100114;2300;;0;;
100115;0000;;0;;
100115;0100;;0;;
100115;0200;;0;;
100115;0300;;0;;
100115;0400;;0;;
100115;0500;;0;;
100115;0600;;0;;
100115;0700;;0;;
100115;0800;;0;;
100115;0900;;0;;
100115;1000;;0;;
100115;1100;;0;;
100115;1200;;0;;
100115;1300;;0;;
100115;1400;;0;;
100115;1500;;0;;
100115;1600;;0;;
100115;1700;;0;;
100115;1800;;0;;
100115;1900;;0;;
100115;2000;;0;;
100115;2100;;0;;
100115;2200;;0;;
100115;2300;;0;;
100116;0000;;0;;
100116;0100;;0;;
100116;0200;;0;;
100116;0300;;0;;
100116;0400;;0;;
100116;0500;;0;;
100116;0600;;0;;
100116;0700;;0;;
100116;0800;;0;;
100116;0900;;0;;
100116;1000;;0;;
100116;1100;;0;;
100116;1200;;0;;
100116;1300;;0;;
100116;1400;;0;;
100116;1500;;0;;
100116;1600;;0;;
100116;1700;;0;;
100116;1800;;0;;
100116;1900;;0;;
100116;2000;;0;;
100116;2100;;0;;
100116;2200;;0;;
100116;2300;;0;;
100117;0000;;0;;
100117;0100;;0;;
100117;0200;;0;;
100117;0300;;0;;
100117;0400;;0;;
100117;0500;;0;;
100117;0600;;0;;
100117;0700;;0;;
100117;0800;;0;;
100117;0900;;0;;
100117;1000;;0;;
100117;1100;;0;;
100117;1200;;0;;
100117;1300;;0;;
100117;1400;;0;;
100117;1500;;0;;
100117;1600;;0;;
100117;1700;;0;;
100117;1800;;0;;
100117;1900;;0;;
100117;2000;;0;;
100117;2100;;0;;
100117;2200;;0;;
100117;2300;;0;;
100118;0000;;0;;
100118;0100;;0;;
100118;0200;;0;;
100118;0300;;0;;
100118;0400;;0;;
100118;0500;;0;;
100118;0600;;0;;
100118;0700;;0;;
100118;0800;;0;;
100118;0900;;0;;
100118;1000;;0;;
100118;1100;;0;;
100118;1200;;0;;
100118;1300;;0;;
100118;1400;;0;;
100118;1500;;0;;
100118;1600;;0;;
100118;1700;;0;;
100118;1800;;0;;
100118;1900;;0;;
100118;2000;;0;;
100118;2100;;0;;
100118;2200;;0;;
100118;2300;;0;;
100119;0000;;0;;
100119;0100;;0;;
100119;0200;;0;;
100119;0300;;0;;
100119;0400;;0;;
100119;0500;;0;;
100119;0600;;0;;
100119;0700;;0;;
100119;0800;;0;;
100119;0900;;0;;
100119;1000;;0;;
100119;1100;;0;;
100119;1200;;0;;
100119;1300;;0;;
100119;1400;;0;;
100119;1500;;0;;
100119;1600;;0;;
100119;1700;;0;;
100119;1800;;0;;
100119;1900;;0;;
100119;2000;;0;;
100119;2100;;0;;
100119;2200;;0;;
100119;2300;;0;;
100120;0000;;0;;
100120;0100;;0;;
100120;0200;;0;;
100120;0300;;0;;
100120;0400;;0;;
100120;0500;;0;;
100120;0600;;0;;
100120;0700;;0;;
100120;0800;;0;;
100120;0900;;0;;
100120;1000;;0;;
100120;1100;;0;;
100120;1200;;0;;
100120;1300;;0;;
100120;1400;;0;;
100120;1500;;0;;
100120;1600;;0;;
100120;1700;;0;;
100120;1800;;0;;
100120;1900;;0;;
100120;2000;;0;;
100120;2100;;0;;
100120;2200;;0;;
100120;2300;;0;;
100121;0000;;0;;
100121;0100;;0;;
100121;0200;;0;;
100121;0300;;0;;
100121;0400;;0;;
100121;0500;;0;;
100121;0600;;0;;
100121;0700;;0;;
100121;0800;;0;;
100121;0900;;0;;
100121;1000;;0;;
100121;1100;;0;;
100121;1200;;0;;
100121;1300;;0;;
100121;1400;;0;;
100121;1500;;0;;
100121;1600;;0;;
100121;1700;;0;;
100121;1800;;0;;
100121;1900;;0;;
100121;2000;;0;;
100121;2100;;0;;
100121;2200;;0;;
100121;2300;;0;;
100122;0000;;0;;
100122;0100;;0;;
100122;0200;;0;;
100122;0300;;0;;
100122;0400;;0;;
100122;0500;;0;;
100122;0600;;0;;
100122;0700;;0;;
100122;0800;;0;;
100122;0900;;0;;
100122;1000;;6,34813e-05;;
100122;1100;;0;;
100122;1200;;0;;
100122;1300;;0;;
100122;1400;;0;;
100122;1500;;0;;
100122;1600;;0;;
100122;1700;;0;;
100122;1800;;0;;
100122;1900;;0;;
100122;2000;;0;;
100122;2100;;0;;
100122;2200;;0;;
100122;2300;;0;;
100123;0000;;0;;
100123;0100;;0;;
100123;0200;;0;;
100123;0300;;0;;
100123;0400;;0;;
100123;0500;;0;;
100123;0600;;0;;
100123;0700;;0;;
100123;0800;;0;;
100123;0900;;0;;
100123;1000;;0;;
100123;1100;;0;;
100123;1200;;0;;
100123;1300;;0;;
100123;1400;;0;;
100123;1500;;0;;
100123;1600;;0;;
100123;1700;;0;;
100123;1800;;0;;
100123;1900;;0;;
100123;2000;;0;;
100123;2100;;0;;
100123;2200;;0;;
100123;2300;;0;;
100124;0000;;0;;
100124;0100;;0;;
100124;0200;;0;;
100124;0300;;0;;
100124;0400;;0;;
100124;0500;;0;;
100124;0600;;0;;
100124;0700;;0;;
100124;0800;;0;;
100124;0900;;0;;
100124;1000;;0;;
100124;1100;;0;;
100124;1200;;0;;
100124;1300;;0;;
100124;1400;;0;;
100124;1500;;0;;
100124;1600;;0;;
100124;1700;;0;;
100124;1800;;0;;
100124;1900;;0;;
100124;2000;;0;;
100124;2100;;0;;
100124;2200;;0;;
100124;2300;;0;;
100125;0000;;0;;
100125;0100;;0;;
100125;0200;;0;;
100125;0300;;0;;
100125;0400;;0;;
100125;0500;;0;;
100125;0600;;0;;
100125;0700;;0;;
100125;0800;;0;;
100125;0900;;0;;
100125;1000;;0;;
100125;1100;;0;;
100125;1200;;0;;
100125;1300;;0;;
100125;1400;;0;;
100125;1500;;0;;
100125;1600;;0;;
100125;1700;;0;;
100125;1800;;0;;
100125;1900;;0;;
100125;2000;;0;;
100125;2100;;0;;
100125;2200;;0;;
100125;2300;;0;;
100126;0000;;0;;
100126;0100;;0;;
100126;0200;;0;;
100126;0300;;0;;
100126;0400;;0;;
100126;0500;;0;;
100126;0600;;0;;
100126;0700;;0;;
100126;0800;;0;;
100126;0900;;0;;
100126;1000;;0;;
100126;1100;;0;;
100126;1200;;0;;
100126;1300;;0;;
100126;1400;;0;;
100126;1500;;0;;
100126;1600;;0;;
100126;1700;;0;;
100126;1800;;0;;
100126;1900;;0;;
100126;2000;;0;;
100126;2100;;0;;
100126;2200;;0;;
100126;2300;;0;;
100127;0000;;0;;
100127;0100;;0;;
100127;0200;;0;;
100127;0300;;0;;
100127;0400;;0;;
100127;0500;;0;;
100127;0600;;0;;
100127;0700;;0;;
100127;0800;;0;;
100127;0900;;0;;
100127;1000;;0;;
100127;1100;;0;;
100127;1200;;0;;
100127;1300;;0;;
100127;1400;;0;;
100127;1500;;0;;
100127;1600;;0;;
100127;1700;;0;;
100127;1800;;0;;
100127;1900;;0;;
100127;2000;;0;;
100127;2100;;0;;
100127;2200;;0;;
100127;2300;;0;;
100128;0000;;0;;
100128;0100;;0;;
100128;0200;;0;;
100128;0300;;0;;
100128;0400;;0;;
100128;0500;;0;;
100128;0600;;0;;
100128;0700;;0;;
100128;0800;;0;;
100128;0900;;0;;
100128;1000;;0;;
100128;1100;;0;;
100128;1200;;0;;
100128;1300;;0;;
100128;1400;;0;;
100128;1500;;0;;
100128;1600;;0;;
100128;1700;;0;;
100128;1800;;0;;
100128;1900;;0;;
100128;2000;;0;;
100128;2100;;0;;
100128;2200;;0;;
100128;2300;;0;;
100129;0000;;0;;
100129;0100;;0;;
100129;0200;;0;;
100129;0300;;0;;
100129;0400;;0;;
100129;0500;;0;;
100129;0600;;0;;
100129;0700;;0;;
100129;0800;;0;;
100129;0900;;0;;
100129;1000;;0;;
100129;1100;;0;;
100129;1200;;0;;
100129;1300;;0;;
100129;1400;;0;;
100129;1500;;0;;
100129;1600;;0;;
100129;1700;;0;;
100129;1800;;0;;
100129;1900;;0;;
100129;2000;;0;;
100129;2100;;0;;
100129;2200;;0;;
100129;2300;;0;;
100130;0000;;0;;
100130;0100;;0;;
100130;0200;;0;;
100130;0300;;0;;
100130;0400;;0;;
100130;0500;;0;;
100130;0600;;0;;
100130;0700;;0;;
100130;0800;;0;;
100130;0900;;0;;
100130;1000;;0;;
100130;1100;;0;;
100130;1200;;0;;
100130;1300;;0;;
100130;1400;;0;;
100130;1500;;0;;
100130;1600;;0;;
100130;1700;;0;;
100130;1800;;0;;
100130;1900;;0;;
100130;2000;;0;;
100130;2100;;0;;
100130;2200;;0;;
100130;2300;;0;;
100131;0000;;0;;
100131;0100;;0;;
100131;0200;;0;;
100131;0300;;0;;
100131;0400;;0;;
100131;0500;;0;;
100131;0600;;0;;
100131;0700;;0;;
100131;0800;;0;;
100131;0900;;0;;
100131;1000;;0;;
100131;1100;;0;;
100131;1200;;0;;
100131;1300;;0;;
100131;1400;;0;;
100131;1500;;0;;
100131;1600;;0;;
