FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
040301;0100;;;;
040301;0200;;;;
040301;0300;;;;
040301;0400;;;;
040301;0500;;;;
040301;0600;;;;
040301;0700;;;;
040301;0800;;;;
040301;0900;;;;
040301;1000;;;;
040301;1100;;;;
040301;1200;;;;
040301;1300;;;;
040301;1400;;;;
040301;1500;;;;
040301;1600;;;;
040301;1700;;;;
040301;1800;;;;
040301;1900;;;;
040301;2000;;;;
040301;2100;;;;
040301;2200;;;;
040301;2300;;;;
040302;0000;;;;
040302;0100;;;;
040302;0200;;;;
040302;0300;;;;
040302;0400;;;;
040302;0500;;;;
040302;0600;;;;
040302;0700;;;;
040302;0800;;;;
040302;0900;;;;
040302;1000;;;;
040302;1100;;;;
040302;1200;;;;
040302;1300;;;;
040302;1400;;;;
040302;1500;;;;
040302;1600;;;;
040302;1700;;;;
040302;1800;;;;
040302;1900;;;;
040302;2000;;;;
040302;2100;;;;
040302;2200;;;;
040302;2300;;;;
040303;0000;;;;
040303;0100;;;;
040303;0200;;;;
040303;0300;;;;
040303;0400;;;;
040303;0500;;;;
040303;0600;;;;
040303;0700;;;;
040303;0800;;;;
040303;0900;;;;
040303;1000;;;;
040303;1100;;;;
040303;1200;;;;
040303;1300;;;;
040303;1400;;;;
040303;1500;;;;
040303;1600;;;;
040303;1700;;;;
040303;1800;;;;
040303;1900;;;;
040303;2000;;;;
040303;2100;;;;
040303;2200;;;;
040303;2300;;;;
040304;0000;;;;
040304;0100;;;;
040304;0200;;;;
040304;0300;;;;
040304;0400;;;;
040304;0500;;;;
040304;0600;;;;
040304;0700;;;;
040304;0800;;;;
040304;0900;;;;
040304;1000;;;;
040304;1100;;;;
040304;1200;;;;
040304;1300;;;;
040304;1400;;;;
040304;1500;;;;
040304;1600;;;;
040304;1700;;;;
040304;1800;;;;
040304;1900;;;;
040304;2000;;;;
040304;2100;;;;
040304;2200;;;;
040304;2300;;;;
040305;0000;;;;
040305;0100;;;;
040305;0200;;;;
040305;0300;;;;
040305;0400;;;;
040305;0500;;;;
040305;0600;;;;
040305;0700;;;;
040305;0800;;;;
040305;0900;;;;
040305;1000;;;;
040305;1100;;;;
040305;1200;;;;
040305;1300;;;;
040305;1400;;;;
040305;1500;;;;
040305;1600;;;;
040305;1700;;;;
040305;1800;;;;
040305;1900;;;;
040305;2000;;;;
040305;2100;;;;
040305;2200;;;;
040305;2300;;;;
040306;0000;;;;
040306;0100;;;;
040306;0200;;;;
040306;0300;;;;
040306;0400;;;;
040306;0500;;;;
040306;0600;;;;
040306;0700;;;;
040306;0800;;;;
040306;0900;;;;
040306;1000;;;;
040306;1100;;;;
040306;1200;;;;
040306;1300;;;;
040306;1400;;;;
040306;1500;;;;
040306;1600;;;;
040306;1700;;;;
040306;1800;;;;
040306;1900;;;;
040306;2000;;;;
040306;2100;;;;
040306;2200;;;;
040306;2300;;;;
040307;0000;;;;
040307;0100;;;;
040307;0200;;;;
040307;0300;;;;
040307;0400;;;;
040307;0500;;;;
040307;0600;;;;
040307;0700;;;;
040307;0800;;;;
040307;0900;;;;
040307;1000;;;;
040307;1100;;;;
040307;1200;;;;
040307;1300;;;;
040307;1400;;;;
040307;1500;;;;
040307;1600;;;;
040307;1700;;;;
040307;1800;;;;
040307;1900;;;;
040307;2000;;;;
040307;2100;;;;
040307;2200;;;;
040307;2300;;;;
040308;0000;;;;
040308;0100;;;;
040308;0200;;;;
040308;0300;;;;
040308;0400;;;;
040308;0500;;;;
040308;0600;;;;
040308;0700;;;;
040308;0800;;;;
040308;0900;;;;
040308;1000;;;;
040308;1100;;;;
040308;1200;;;;
040308;1300;;;;
040308;1400;;;;
040308;1500;;;;
040308;1600;;;;
040308;1700;;;;
040308;1800;;;;
040308;1900;;;;
040308;2000;;;;
040308;2100;;;;
040308;2200;;;;
040308;2300;;;;
040309;0000;;;;
040309;0100;;;;
040309;0200;;;;
040309;0300;;;;
040309;0400;;;;
040309;0500;;;;
040309;0600;;;;
040309;0700;;;;
040309;0800;;;;
040309;0900;;;;
040309;1000;;;;
040309;1100;;;;
040309;1200;;;;
040309;1300;;;;
040309;1400;;;;
040309;1500;;;;
040309;1600;;;;
040309;1700;;;;
040309;1800;;;;
040309;1900;;;;
040309;2000;;;;
040309;2100;;;;
040309;2200;;;;
040309;2300;;;;
040310;0000;;;;
040310;0100;;;;
040310;0200;;;;
040310;0300;;;;
040310;0400;;;;
040310;0500;;;;
040310;0600;;;;
040310;0700;;;;
040310;0800;;;;
040310;0900;;;;
040310;1000;;;;
040310;1100;;;;
040310;1200;;;;
040310;1300;;;;
040310;1400;;;;
040310;1500;;;;
040310;1600;;;;
040310;1700;;;;
040310;1800;;;;
040310;1900;;;;
040310;2000;;;;
040310;2100;;;;
040310;2200;;;;
040310;2300;;;;
040311;0000;;;;
040311;0100;;;;
040311;0200;;;;
040311;0300;;;;
040311;0400;;;;
040311;0500;;;;
040311;0600;;;;
040311;0700;;;;
040311;0800;;;;
040311;0900;;;;
040311;1000;;;;
040311;1100;;;;
040311;1200;;;;
040311;1300;;;;
040311;1400;;;;
040311;1500;;;;
040311;1600;;;;
040311;1700;;;;
040311;1800;;;;
040311;1900;;;;
040311;2000;;;;
040311;2100;;;;
040311;2200;;;;
040311;2300;;;;
040312;0000;;;;
040312;0100;;;;
040312;0200;;;;
040312;0300;;;;
040312;0400;;;;
040312;0500;;;;
040312;0600;;;;
040312;0700;;;;
040312;0800;;;;
040312;0900;;;;
040312;1000;;;;
040312;1100;;;;
040312;1200;;;;
040312;1300;;;;
040312;1400;;;;
040312;1500;;;;
040312;1600;;;;
040312;1700;;;;
040312;1800;;;;
040312;1900;;;;
040312;2000;;;;
040312;2100;;;;
040312;2200;;;;
040312;2300;;;;
040313;0000;;;;
040313;0100;;;;
040313;0200;;;;
040313;0300;;;;
040313;0400;;;;
040313;0500;;;;
040313;0600;;;;
040313;0700;;;;
040313;0800;;;;
040313;0900;;;;
040313;1000;;;;
040313;1100;;;;
040313;1200;;;;
040313;1300;;;;
040313;1400;;;;
040313;1500;;;;
040313;1600;;;;
040313;1700;;;;
040313;1800;;;;
040313;1900;;;;
040313;2000;;;;
040313;2100;;;;
040313;2200;;;;
040313;2300;;;;
040314;0000;;;;
040314;0100;;;;
040314;0200;;;;
040314;0300;;;;
040314;0400;;;;
040314;0500;;;;
040314;0600;;;;
040314;0700;;;;
040314;0800;;;;
040314;0900;;;;
040314;1000;;;;
040314;1100;;;;
040314;1200;;;;
040314;1300;;;;
040314;1400;;;;
040314;1500;;;;
040314;1600;;;;
040314;1700;;;;
040314;1800;;;;
040314;1900;;;;
040314;2000;;;;
040314;2100;;;;
040314;2200;;;;
040314;2300;;;;
040315;0000;;;;
040315;0100;;;;
040315;0200;;;;
040315;0300;;;;
040315;0400;;;;
040315;0500;;;;
040315;0600;;;;
040315;0700;;;;
040315;0800;;;;
040315;0900;;;;
040315;1000;;;;
040315;1100;;;;
040315;1200;;;;
040315;1300;;;;
040315;1400;;;;
040315;1500;;;;
040315;1600;;;;
040315;1700;;;;
040315;1800;;;;
040315;1900;;;;
040315;2000;;;;
040315;2100;;;;
040315;2200;;;;
040315;2300;;;;
040316;0000;;;;
040316;0100;;;;
040316;0200;;;;
040316;0300;;;;
040316;0400;;;;
040316;0500;;;;
040316;0600;;;;
040316;0700;;;;
040316;0800;;;;
040316;0900;;;;
040316;1000;;;;
040316;1100;;;;
040316;1200;;;;
040316;1300;;;;
040316;1400;;;;
040316;1500;;;;
040316;1600;;;;
040316;1700;;;;
040316;1800;;;;
040316;1900;;;;
040316;2000;;;;
040316;2100;;;;
040316;2200;;;;
040316;2300;;;;
040317;0000;;;;
040317;0100;;;;
040317;0200;;;;
040317;0300;;;;
040317;0400;;;;
040317;0500;;;;
040317;0600;;;;
040317;0700;;;;
040317;0800;;;;
040317;0900;;;;
040317;1000;;;;
040317;1100;;;;
040317;1200;;;;
040317;1300;;;;
040317;1400;;;;
040317;1500;;;;
040317;1600;;;;
040317;1700;;;;
040317;1800;;;;
040317;1900;;;;
040317;2000;;;;
040317;2100;;;;
040317;2200;;;;
040317;2300;;;;
040318;0000;;;;
040318;0100;;;;
040318;0200;;;;
040318;0300;;;;
040318;0400;;;;
040318;0500;;;;
040318;0600;;;;
040318;0700;;;;
040318;0800;;;;
040318;0900;;;;
040318;1000;;;;
040318;1100;;;;
040318;1200;;;;
040318;1300;;;;
040318;1400;;;;
040318;1500;;;;
040318;1600;;;;
040318;1700;;;;
040318;1800;;;;
040318;1900;;;;
040318;2000;;;;
040318;2100;;;;
040318;2200;;;;
040318;2300;;;;
040319;0000;;;;
040319;0100;;;;
040319;0200;;;;
040319;0300;;;;
040319;0400;;;;
040319;0500;;;;
040319;0600;;;;
040319;0700;;;;
040319;0800;;;;
040319;0900;;;;
040319;1000;;;;
040319;1100;;;;
040319;1200;;;;
040319;1300;;;;
040319;1400;;;;
040319;1500;;;;
040319;1600;;;;
040319;1700;;;;
040319;1800;;;;
040319;1900;;;;
040319;2000;;;;
040319;2100;;;;
040319;2200;;;;
040319;2300;;;;
040320;0000;;;;
040320;0100;;;;
040320;0200;;;;
040320;0300;;;;
040320;0400;;;;
040320;0500;;;;
040320;0600;;;;
040320;0700;;;;
040320;0800;;;;
040320;0900;;;;
040320;1000;;;;
040320;1100;;;;
040320;1200;;;;
040320;1300;;;;
040320;1400;;;;
040320;1500;;;;
040320;1600;;;;
040320;1700;;;;
040320;1800;;;;
040320;1900;;;;
040320;2000;;;;
040320;2100;;;;
040320;2200;;;;
040320;2300;;;;
040321;0000;;;;
040321;0100;;;;
040321;0200;;;;
040321;0300;;;;
040321;0400;;;;
040321;0500;;;;
040321;0600;;;;
040321;0700;;;;
040321;0800;;;;
040321;0900;;;;
040321;1000;;;;
040321;1100;;;;
040321;1200;;;;
040321;1300;;;;
040321;1400;;;;
040321;1500;;;;
040321;1600;;;;
040321;1700;;;;
040321;1800;;;;
040321;1900;;;;
040321;2000;;;;
040321;2100;;;;
040321;2200;;;;
040321;2300;;;;
040322;0000;;;;
040322;0100;;;;
040322;0200;;;;
040322;0300;;;;
040322;0400;;;;
040322;0500;;;;
040322;0600;;;;
040322;0700;;;;
040322;0800;;;;
040322;0900;;;;
040322;1000;;;;
040322;1100;;;;
040322;1200;;;;
040322;1300;;;;
040322;1400;;;;
040322;1500;;;;
040322;1600;;;;
040322;1700;;;;
040322;1800;;;;
040322;1900;;;;
040322;2000;;;;
040322;2100;;;;
040322;2200;;;;
040322;2300;;;;
040323;0000;;;;
040323;0100;;;;
040323;0200;;;;
040323;0300;;;;
040323;0400;;;;
040323;0500;;;;
040323;0600;;;;
040323;0700;;;;
040323;0800;;;;
040323;0900;;;;
040323;1000;;;;
040323;1100;;;;
040323;1200;;;;
040323;1300;;;;
040323;1400;;;;
040323;1500;;;;
040323;1600;;;;
040323;1700;;;;
040323;1800;;;;
040323;1900;;;;
040323;2000;;;;
040323;2100;;;;
040323;2200;;;;
040323;2300;;;;
040324;0000;;;;
040324;0100;;;;
040324;0200;;;;
040324;0300;;;;
040324;0400;;;;
